UTC Time;Battery Voltage (V);Engine RPM
0022-03-18T11:11:00;13,5;4316
0022-03-18T11:11:10;13,5625;4135
0022-03-18T11:11:20;13,5;4182
0022-03-18T11:11:30;13,4375;4128
0022-03-18T11:11:40;13,5;4266
0022-03-18T11:11:50;13,375;4108
0022-03-18T11:12:00;13,4375;4128
0022-03-18T11:12:10;13,4375;4165
0022-03-18T11:12:20;13,375;4197
0022-03-18T11:12:30;13,5;4246
0022-03-18T11:12:40;13,4375;4233
0022-03-18T11:12:50;13,375;4161
0022-03-18T11:13:00;13,375;4216
0022-03-18T11:13:10;13,4375;4197
0022-03-18T11:13:20;13,3125;4197
0022-03-18T11:13:30;13,5;4145
0022-03-18T11:13:40;13,5;4116
0022-03-18T11:13:50;13,375;4137
0022-03-18T11:14:00;13,4375;4104
0022-03-18T11:14:10;13,4375;4182
0022-03-18T11:14:20;13,4375;4162
0022-03-18T11:14:30;13,4375;4165
0022-03-18T11:14:40;13,5;4145
0022-03-18T11:14:50;13,5;4116
0022-03-18T11:15:00;13,5;4137
0022-03-18T11:15:10;13,5625;4044
0022-03-18T11:15:20;13,5625;4376
0022-03-18T11:15:30;13,4375;4312
0022-03-18T11:15:40;13,5;4137
0022-03-18T11:15:50;13,5625;4017
0022-03-18T11:16:00;13,375;3829
0022-03-18T11:16:10;13,5625;3828
0022-03-18T11:16:20;13,375;3777
0022-03-18T11:16:30;13,4375;3380
0022-03-18T11:16:40;13,4375;3321
0022-03-18T11:16:50;13,375;3289
0022-03-18T11:17:00;13,4375;3231
0022-03-18T11:17:10;13,5625;3243
0022-03-18T11:17:20;13,375;3195
0022-03-18T11:17:30;13,4375;3173
0022-03-18T11:17:40;13,4375;3283
0022-03-18T11:17:50;13,5625;3576
0022-03-18T11:18:00;13,4375;3573
0022-03-18T11:18:10;13,4375;3541
0022-03-18T11:18:20;13,4375;4665
0022-03-18T11:18:30;13,5625;4384
0022-03-18T11:18:40;13,3125;4293
0022-03-18T11:18:50;13,375;3944
0022-03-18T11:19:00;13,5;3562
0022-03-18T11:19:10;13,5;3260
0022-03-18T11:19:20;13,4375;3170
0022-03-18T11:19:30;13,5;3195
0022-03-18T11:19:40;13,4375;3023
0022-03-18T11:19:50;13,375;3028
0022-03-18T11:20:00;13,3125;3546
0022-03-18T11:20:10;13,4375;4162
0022-03-18T11:20:20;13,5625;4384
0022-03-18T11:20:30;13,375;3538
0022-03-18T11:20:40;13,4375;3386
0022-03-18T11:20:50;13,5;3023
0022-03-18T11:21:00;13,4375;2630
0022-03-18T11:21:10;13,5;2455
0022-03-18T11:21:20;13,4375;3270
0022-03-18T11:21:30;13,375;3271
0022-03-18T11:21:40;13,5;3271
0022-03-18T11:21:50;13,4375;3270
0022-03-18T11:22:00;13,375;3271
0022-03-18T11:22:10;13,375;3437
0022-03-18T11:22:20;13,4375;3924
0022-03-18T11:22:30;13,375;4223
